iter	Passed	Remaining
1076	29524	25302
1077	29553	25276
1078	29579	25248
1079	29606	25220
1080	29632	25192
1081	29659	25163
1082	29685	25135
1083	29712	25107
1084	29738	25078
1085	29765	25051
1086	29792	25023
1087	29819	24995
1088	29846	24967
1089	29872	24939
1090	29898	24911
1091	29925	24883
1092	29952	24855
1093	29979	24827
1094	30005	24799
1095	30031	24770
1096	30058	24742
1097	30085	24714
1098	30111	24686
1099	30138	24658
1100	30164	24630
1101	30191	24602
1102	30218	24574
1103	30245	24546
1104	30271	24518
1105	30298	24490
1106	30328	24465
1107	30357	24439
1108	30385	24412
1109	30415	24387
1110	30442	24359
1111	30470	24332
1112	30497	24304
1113	30526	24278
1114	30552	24250
1115	30578	24221
1116	30606	24194
1117	30632	24166
1118	30659	24138
1119	30687	24111
1120	30715	24084
1121	30742	24056
1122	30770	24029
1123	30797	24002
1124	30823	23974
1125	30850	23946
1126	30878	23918
1127	30904	23890
1128	30930	23862
1129	30956	23833
1130	30983	23806
1131	31011	23778
1132	31037	23750
1133	31063	23722
1134	31090	23694
1135	31117	23666
1136	31143	23638
1137	31169	23610
1138	31196	23582
1139	31222	23553
1140	31249	23525
1141	31276	23498
1142	31303	23470
1143	31330	23443
1144	31360	23418
1145	31387	23390
1146	31413	23361
1147	31441	23334
1148	31467	23306
1149	31494	23278
1150	31521	23250
1151	31547	23222
1152	31575	23195
1153	31601	23167
1154	31628	23139
1155	31655	23111
1156	31681	23083
1157	31708	23055
1158	31735	23028
1159	31762	23000
1160	31789	22972
1161	31816	22945
1162	31843	22917
1163	31870	22890
1164	31897	22861
1165	31924	22834
1166	31950	22806
1167	31977	22778
1168	32006	22751
1169	32032	22724
1170	32059	22696
1171	32087	22669
1172	32115	22642
1173	32143	22615
1174	32171	22588
1175	32203	22564
1176	32231	22537
1177	32259	22510
1178	32289	22484
1179	32319	22459
1180	32348	22433
1181	32377	22406
1182	32404	22379
1183	32432	22352
1184	32460	22325
1185	32489	22299
1186	32516	22271
1187	32544	22244
1188	32570	22216
1189	32597	22188
1190	32624	22160
1191	32650	22132
1192	32677	22104
1193	32705	22077
1194	32732	22049
1195	32758	22021
1196	32784	21993
1197	32813	21966
1198	32840	21939
1199	32866	21911
1200	32893	21883
1201	32919	21854
1202	32947	21828
1203	32976	21801
1204	33003	21773
1205	33030	21746
1206	33058	21719
1207	33087	21693
1208	33114	21665
1209	33141	21637
1210	33169	21611
1211	33196	21582
1212	33222	21554
1213	33249	21526
1214	33275	21499
1215	33304	21472
1216	33333	21446
1217	33362	21420
1218	33389	21392
1219	33415	21363
1220	33442	21336
1221	33470	21309
1222	33496	21281
1223	33522	21252
1224	33550	21225
1225	33577	21198
1226	33604	21170
1227	33631	21143
1228	33659	21115
1229	33687	21089
1230	33714	21061
1231	33741	21033
1232	33768	21006
1233	33795	20978
1234	33822	20950
1235	33848	20922
1236	33875	20895
1237	33902	20867
1238	33928	20839
1239	33955	20811
1240	33982	20783
1241	34008	20755
1242	34034	20727
1243	34061	20699
1244	34089	20672
1245	34115	20644
1246	34141	20616
1247	34169	20589
1248	34196	20561
1249	34222	20533
1250	34249	20505
1251	34275	20477
1252	34303	20450
1253	34333	20424
1254	34361	20398
1255	34387	20369
1256	34413	20341
1257	34441	20314
1258	34466	20285
1259	34491	20257
1260	34517	20228
1261	34544	20201
1262	34570	20173
1263	34598	20145
1264	34624	20117
1265	34652	20090
1266	34678	20062
1267	34704	20034
1268	34731	20006
1269	34758	19979
1270	34784	19951
1271	34811	19923
1272	34837	19895
1273	34864	19867
1274	34892	19840
1275	34918	19812
1276	34944	19784
1277	34972	19757
1278	34998	19729
1279	35026	19702
1280	35053	19674
1281	35079	19646
1282	35105	19618
1283	35132	19590
1284	35161	19564
1285	35188	19537
1286	35215	19509
1287	35242	19481
1288	35268	19454
1289	35296	19426
1290	35327	19401
1291	35355	19374
1292	35383	19347
1293	35410	19319
1294	35439	19293
1295	35468	19266
1296	35495	19239
1297	35523	19212
1298	35551	19185
1299	35579	19158
1300	35607	19131
1301	35635	19104
1302	35663	19077
1303	35692	19050
1304	35720	19023
1305	35747	18995
1306	35775	18968
1307	35804	18942
1308	35832	18915
1309	35860	18888
1310	35892	18863
1311	35921	18836
1312	35949	18809
1313	35978	18783
1314	36006	18756
1315	36033	18728
1316	36060	18701
1317	36089	18674
1318	36117	18647
1319	36143	18619
1320	36173	18593
1321	36200	18565
1322	36226	18537
1323	36251	18508
1324	36277	18480
1325	36305	18453
1326	36333	18426
1327	36359	18398
1328	36384	18370
1329	36409	18341
1330	36436	18313
1331	36461	18285
1332	36489	18258
1333	36515	18230
1334	36542	18202
1335	36568	18174
1336	36593	18145
1337	36618	18117
1338	36643	18089
1339	36668	18060
1340	36694	18032
1341	36720	18004
1342	36746	17976
1343	36771	17948
1344	36797	17919
1345	36823	17891
1346	36848	17863
1347	36874	17835
1348	36899	17807
1349	36927	17779
1350	36952	17751
1351	36978	17723
1352	37005	17695
1353	37031	17667
1354	37057	17639
1355	37084	17612
1356	37110	17584
1357	37136	17556
1358	37162	17528
1359	37190	17501
1360	37215	17472
1361	37240	17444
1362	37265	17416
1363	37294	17389
1364	37323	17363
1365	37350	17335
1366	37376	17307
1367	37402	17279
1368	37427	17251
1369	37454	17223
1370	37481	17196
1371	37508	17168
1372	37535	17141
1373	37562	17113
1374	37587	17085
1375	37612	17056
1376	37639	17029
1377	37665	17001
1378	37692	16973
1379	37718	16945
1380	37743	16917
1381	37769	16889
1382	37795	16861
1383	37821	16833
1384	37846	16805
1385	37871	16777
1386	37897	16749
1387	37922	16720
1388	37948	16692
1389	37974	16665
1390	38000	16637
1391	38026	16609
1392	38052	16581
1393	38077	16553
1394	38102	16524
1395	38128	16496
1396	38154	16469
1397	38181	16441
1398	38207	16413
1399	38233	16385
1400	38258	16357
1401	38285	16329
1402	38315	16304
1403	38343	16276
1404	38368	16248
1405	38395	16220
1406	38420	16192
1407	38446	16164
1408	38472	16137
